Service,Country,Price 2017 USD,Percent of US Price
Xarelto (Rivaroxaban),USA,379.0,1.0
Xarelto (Rivaroxaban),South Africa,75.0,0.197889182
Xarelto (Rivaroxaban),Holland,58.9,0.155518909
Xarelto (Rivaroxaban),Australia,,
Xarelto (Rivaroxaban),Switzerland,77.1,0.203495251
Xarelto (Rivaroxaban),New Zealand,,
Xarelto (Rivaroxaban),UAE,133.9,0.353360701
Xarelto (Rivaroxaban),Germany,107.1,0.28269569
Xarelto (Rivaroxaban),UK,65.0,0.171546174
