Service,Country,Price 2017 USD,Percent of US Price
Enbrel (Etanercept) ,USA,"4,635.0",1.0
Enbrel (Etanercept) ,South Africa,708.0,0.152750809
Enbrel (Etanercept) ,Holland,773.3,0.166846458
Enbrel (Etanercept) ,Australia,,
Enbrel (Etanercept) ,Switzerland,"1,565.7",0.337806947
Enbrel (Etanercept) ,New Zealand,,
Enbrel (Etanercept) ,UAE,"1,536.1",0.331413925
Enbrel (Etanercept) ,Germany,"2,269.9",0.489739302
Enbrel (Etanercept) ,UK,922.4,0.198996764
