Service,Country,Price 2017 USD,Percent of US Price
Harvoni (Ledipasvir/Sofosbuvir) ,USA,"31,618.0",1.0
Harvoni (Ledipasvir/Sofosbuvir) ,South Africa,"4,844.0",0.153203871
Harvoni (Ledipasvir/Sofosbuvir) ,Holland,"12,777.5",0.40412107
Harvoni (Ledipasvir/Sofosbuvir) ,Australia,,
Harvoni (Ledipasvir/Sofosbuvir) ,Switzerland,"13,613.4",0.430558144
Harvoni (Ledipasvir/Sofosbuvir) ,New Zealand,,
Harvoni (Ledipasvir/Sofosbuvir) ,UAE,"24,711.7",0.78157115
Harvoni (Ledipasvir/Sofosbuvir) ,Germany,"14,565.6",0.460674299
Harvoni (Ledipasvir/Sofosbuvir) ,UK,"16,761.4",0.530121946
